smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"ABILENE, TEX",1967,247,247,95,2,0,150,0,6,3323,3323,1929,14,0,1380,0,TX,TX,Inf,-Inf,0
"AKRON, OHIO",1967,4732,4732,2289,540,159,1744,0,106,74610,74610,48831,5734,1567,18478,0,OH,OH,Inf,-Inf,0
"ALBANY, GA",1967,472,472,339,71,0,62,0,11,5335,5335,4627,278,0,430,0,GA,GA,1991,-24,0
"ALBANY-SCHENECTADY-TROY, NY",1967,3309,3309,1985,312,107,905,0,70,46694,46694,36164,3015,1260,6254,0,NY,NY,1975,-8,0
"ALBUQUERQUE, NMEX",1967,1334,1334,827,6,17,484,0,13,19329,19329,15703,43,117,3466,0,NM,NM,Inf,-Inf,0
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",1967,3172,3172,1831,28,19,1294,0,83,40872,40872,32094,323,171,8284,0,PA-NJ,PA,1989,-22,0
"ALTOONA, PA",1967,339,239,235,0,4,0,100,0,5532,3870,3825,0,45,0,1662,PA,PA,Inf,-Inf,0
"AMARILLO, TEX",1967,517,517,340,18,0,159,0,5,8958,8958,7554,269,0,1135,0,TX,TX,Inf,-Inf,0
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF",1967,12179,12179,8663,280,1072,2164,0,176,253325,253325,212547,4256,13054,23468,0,CA,CA,1970,-3,0
"ANDERSON, IND",1967,642,642,444,54,0,144,0,2,7985,7985,7209,377,0,400,0,IN,IN,1972,-5,0
"ANN ARBOR, MICH",1967,2897,2897,1164,68,27,1638,0,85,42950,42950,26274,853,346,15477,0,MI,MI,Inf,-Inf,0
"ASHEVILLE, NC",1967,281,281,238,2,0,41,0,3,3405,3405,3185,12,0,209,0,NC,NC,1971,-4,0
"ATLANTA, GA",1967,23587,23447,10041,550,231,12625,140,1093,244713,242434,147292,5056,1842,88244,2279,GA,GA,1991,-24,0
"ATLANTIC CITY, NJ",1967,2020,1670,794,22,4,850,350,32,18403,14793,10470,208,15,4100,3610,NJ,NJ,1989,-22,0
"AUGUSTA, GA-SC",1967,2739,2739,2225,0,116,398,0,51,30095,30095,26010,0,573,3512,0,GA-SC,GA,1991,-24,0
"AUSTIN, TEX",1967,4951,4951,1670,454,283,2544,0,84,65233,65233,36924,6037,2698,19574,0,TX,TX,Inf,-Inf,0
