smsa_name_clean,smsa_name_corrected
"ABILENE, TEX","ABILENE, TEX"
"AKRON, OHIO","AKRON, OHIO"
"ALBANY, GA","ALBANY, GA"
"ALBANY-SCHENECTADY-TROY, NY","ALBANY-SCHENECTADY-TROY, NY"
"ALBUQUERQUE, N MEX","ALBUQUERQUE, NMEX"
"ALBUQUERQUE, NMEX","ALBUQUERQUE, NMEX"
"ALEXANDRIA, LA","ALEXANDRIA, LA"
ALLENTOWN-BETH-EASTON PA-NJ,"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ","ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"
"ALTOONA, PA","ALTOONA, PA"
"AMARILLO, TEX","AMARILLO, TEX"
"ANAHEIM-SANTA ANA-GARDEN GR, CALIF","ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF"
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF","ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF"
"ANCHORAGE, ALASKA","ANCHORAGE, ALASKA"
"ANDERSON, IND","ANDERSON, IND"
"ANN ARBOR, MICH","ANN ARBOR, MICH"
"ANNISTON, ALA","ANNISTON, ALA"
"APPLETON-OSHKOSH, WIS","APPLETON-OSHKOSH, WIS"
"ASHEVILLE, NC","ASHEVILLE, NC"
"ATLANTA, GA","ATLANTA, GA"
"ATLANTIC CITY, NJ","ATLANTIC CITY, NJ"
"AUGUSTA, GA-SC","AUGUSTA, GA-SC"
"AUSTIN, TEX","AUSTIN, TEX"
"BAKERSFIELD, CALIF","BAKERSFIELD, CALIF"
"BALTIMORE, MD","BALTIMORE, MD"
"BATON ROUGE, LA","BATON ROUGE, LA"
"BATTLE CREEK, MICH","BATTLE CREEK, MICH"
"BAY CITY, MICH","BAY CITY, MICH"
"BEAUMONT-PORT ARTHUR-ORANGE,","BEAUMONT-PORT ARTHUR-ORANGE, TEX"
"BEAUMONT-PORT ARTHUR-ORANGE, TEX","BEAUMONT-PORT ARTHUR-ORANGE, TEX"
"BILLINGS, MONT","BILLINGS, MONT"
"BILOXI-GULFPORT, MISS","BILOXI-GULFPORT, MISS"
"BINGHAMTON, NY-PA","BINGHAMTON, NY-PA"
"BIRMINGHAM, ALA","BIRMINGHAM, ALA"
"BISMARCK, ND","BISMARCK, ND"
"BLOOMINGTON, IND","BLOOMINGTON, IND"
"BLOOMINGTON-NORMAL, ILL","BLOOMINGTON-NORMAL, ILL"
"BOISE CITY, IDAHO","BOISE CITY, IDAHO"
"BOSTON, MASS","BOSTON, MASS"
"BRADENTON, FLA","BRADENTON, FLA"
"BRIDGEPORT, CONN","BRIDGEPORT, CONN"
"BRISTOL, CONN","BRISTOL, CONN"
"BROCKTON, MASS","BROCKTON, MASS"
BROWNSVILLE-HARLINGEN-,"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX"
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX","BROWNSVILLE-HARLINGEN-SAN BENITO, TEX"
"BRYAN-COLLEGE STATION, TEX","BRYAN-COLLEGE STATION, TEX"
"BUFFALO, NY","BUFFALO, NY"
"BURLINGTON, NC","BURLINGTON, NC"
"CANTON, OHIO","CANTON, OHIO"
"CEDAR RAPIDS, IOWA","CEDAR RAPIDS, IOWA"
"CHAMPAIGN-URBANA, ILL","CHAMPAIGN-URBANA-RANTOUL, ILL"
"CHAMPAIGN-URBANA-RANTOUL, ILL","CHAMPAIGN-URBANA-RANTOUL, ILL"
"CHARLESTON, SC","CHARLESTON-NORTH CHARLESTON, SC"
"CHARLESTON, WVA","CHARLESTON, WVA"
"CHARLESTON-NORTH CHARLESTON,","CHARLESTON-NORTH CHARLESTON, SC"
"CHARLESTON-NORTH CHARLESTON, SC","CHARLESTON-NORTH CHARLESTON, SC"
"CHARLOTTE, NC","CHARLOTTE-GASTONIA, NC"
"CHARLOTTE-GASTONIA, NC","CHARLOTTE-GASTONIA, NC"
"CHATTANOOGA, TENN-GA","CHATTANOOGA, TENN-GA"
"CHICAGO, ILL","CHICAGO, ILL"
"CINCINNATI, OHIO-KY-IND","CINCINNATI, OHIO-KY-IND"
CLARKSVILLE-HOPKINSVILLE,"CLARKSVILLE-HOPKINSVILLE, TENN-KY"
CLARKSVILLE-HOPKINSVILLE TENN-KY,"CLARKSVILLE-HOPKINSVILLE, TENN-KY"
"CLEVELAND, OHIO","CLEVELAND, OHIO"
"COLORADO SPRINGS, COLO","COLORADO SPRINGS, COLO"
"COLUMBIA, MO","COLUMBIA, MO"
"COLUMBIA, SC","COLUMBIA, SC"
"COLUMBUS, GA-ALA","COLUMBUS, GA-ALA"
"COLUMBUS, OHIO","COLUMBUS, OHIO"
"CORPUS CHRISTI, TEX","CORPUS CHRISTI, TEX"
"DALLAS, TEX","DALLAS-FORT WORTH, TEX"
"DALLAS-FORT WORTH, TEX","DALLAS-FORT WORTH, TEX"
"DANBURY, CONN","DANBURY, CONN"
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL","DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL"
DAVENPORT-ROCK ISLAND-MOLINE; IOWA-ILL,"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL"
"DAYTON, OHIO","DAYTON, OHIO"
"DAYTONA BEACH, FLA","DAYTONA BEACH, FLA"
"DECATUR, ILL","DECATUR, ILL"
"DENVER, COLO","DENVER-BOULDER, COLO"
"DENVER-BOULDER, COLO","DENVER-BOULDER, COLO"
"DES MOINES, IOWA","DES MOINES, IOWA"
