year,page_numbers,line_number,smsa_name,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation
1967,pages_01_02.json,4,"ABILENE, TEX.",247,247,95,2,0,150,0,6,3323,3323,1929,14,0,1380,0
1967,pages_01_02.json,5,ABILENE,221,221,69,2,0,150,0,6,2977,2977,1582,14,0,1380,0
1967,pages_01_02.json,6,OUTSIDE CENTRAL CITY,26,26,26,0,0,0,0,0,347,347,347,0,0,0,0
1967,pages_01_02.json,7,"AKRON, OHIO",4732,4732,2289,540,159,1744,0,106,74610,74610,48831,5734,1567,18478,0
1967,pages_01_02.json,8,AKRON,933,933,257,200,62,414,0,44,11528,11528,5056,1658,598,4215,0
1967,pages_01_02.json,9,OUTSIDE CENTRAL CITY,3799,3799,2032,340,97,1330,0,62,63082,63082,43774,4076,969,14262,0
1967,pages_01_02.json,10,"ALBANY, GA.",472,472,339,71,0,62,0,11,5335,5335,4627,278,0,430,0
1967,pages_01_02.json,11,ALBANY,249,249,166,39,0,44,0,8,3036,3036,2525,181,0,330,0
1967,pages_01_02.json,12,OUTSIDE CENTRAL CITY,223,223,173,32,0,18,0,3,2299,2299,2102,96,0,100,0
1967,pages_01_02.json,13,"ALBANY-SCHENECTADY-TROY, N.Y.",3309,3309,1985,312,107,905,0,70,46694,46694,36164,3015,1260,6254,0
1967,pages_01_02.json,14,INSIDE CENTRAL CITIES,390,390,135,64,8,183,0,15,4260,4260,1879,629,90,1662,0
1967,pages_01_02.json,15,ALBANY,163,163,70,62,0,31,0,3,1943,1943,1081,600,0,262,0
1967,pages_01_02.json,16,SCHENECTADY,45,45,37,0,8,0,0,0,533,533,443,0,90,0,0
1967,pages_01_02.json,17,TROY,182,182,28,2,0,152,0,12,1784,1784,355,29,0,1400,0
1967,pages_01_02.json,18,OUTSIDE CENTRAL CITIES,2919,2919,1850,248,99,722,0,55,42434,42434,34285,2386,1170,4592,0
1967,pages_01_02.json,19,"ALBUQUERQUE, N.MEX.",1334,1334,827,6,17,484,0,13,19329,19329,15703,43,117,3466,0
1967,pages_01_02.json,20,ALBUQUERQUE,1324,1324,817,6,17,484,0,13,19029,19029,15403,43,117,3466,0
1967,pages_01_02.json,21,OUTSIDE CENTRAL CITY,10,10,10,0,0,0,0,0,300,300,300,0,0,0,0
1967,pages_01_02.json,22,"ALLENTOWN-BETHLEHEM-EASTON, PA.-N.J.",3172,3172,1831,28,19,1294,0,83,40872,40872,32094,323,171,8284,0
1967,pages_01_02.json,23,INSIDE CENTRAL CITIES,1011,1011,194,24,19,774,0,56,8757,8757,3589,294,171,4704,0
1967,pages_01_02.json,24,ALLENTOWN,645,645,91,24,7,523,0,30,4784,4784,1512,294,63,2915,0
1967,pages_01_02.json,25,BETHLEHEM,363,363,100,0,12,251,0,26,3924,3924,2027,0,108,1789,0
1967,pages_01_02.json,26,EASTON,3,3,3,0,0,0,0,0,50,50,50,0,0,0,0
1967,pages_01_02.json,27,OUTSIDE CENTRAL CITIES,2161,2161,1637,4,0,520,0,27,32114,32114,28505,29,0,3580,0
1967,pages_01_02.json,28,"ALTOONA, PA.",339,239,235,0,4,0,100,0,5532,3870,3825,0,45,0,1662
1967,pages_01_02.json,29,ALTOONA,176,76,76,0,0,0,100,0,2780,1118,1118,0,0,0,1662
1967,pages_01_02.json,30,OUTSIDE CENTRAL CITY,163,163,159,0,4,0,0,0,2751,2751,2706,0,45,0,0
1967,pages_01_02.json,31,"AMARILLO, TEX.",517,517,340,18,0,159,0,5,8958,8958,7554,269,0,1135,0
1967,pages_01_02.json,32,AMARILLO,386,386,301,18,0,67,0,3,7572,7572,6853,269,0,450,0
1967,pages_01_02.json,33,OUTSIDE CENTRAL CITY,131,131,39,0,0,92,0,2,1386,1386,701,0,0,685,0
1967,pages_01_02.json,34,"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF.",12179,12179,8663,280,1072,2164,0,176,253325,253325,212547,4256,13054,23468,0
1967,pages_01_02.json,35,INSIDE CENTRAL CITIES,1290,1290,504,10,124,652,0,38,19783,19783,10860,109,1505,7309,0
1967,pages_01_02.json,36,ANAHEIM,678,678,185,0,96,397,0,13,9173,9173,3743,0,1134,4296,0
1967,pages_01_02.json,37,GARDEN GROVE,351,351,90,0,24,237,0,23,5217,5217,1966,0,332,2919,0
1967,pages_01_02.json,38,SANTA ANA,261,261,229,10,4,18,0,2,5394,5394,5150,109,39,95,0
1967,pages_01_02.json,39,OUTSIDE CENTRAL CITIES,10889,10889,8159,270,948,1512,0,138,233542,233542,201688,4147,11549,16159,0
1967,pages_01_02.json,40,"ANDERSON, IND.",642,642,444,54,0,144,0,2,7985,7985,7209,377,0,400,0
1967,pages_01_02.json,41,ANDERSON,394,394,196,54,0,144,0,2,3777,3777,3001,377,0,400,0
1967,pages_01_02.json,42,OUTSIDE CENTRAL CITY,248,248,248,0,0,0,0,0,4208,4208,4208,0,0,0,0
1967,pages_01_02.json,43,"ANN ARBOR, MICH.",2897,2897,1164,68,27,1638,0,85,42950,42950,26274,853,346,15477,0
1967,pages_01_02.json,44,ANN ARBOR,1468,1468,433,50,4,981,0,47,20548,20548,10358,673,68,9449,0
1967,pages_01_02.json,45,OUTSIDE CENTRAL CITY,1429,1429,731,18,23,657,0,38,22402,22402,15916,180,278,6028,0
1967,pages_01_02.json,46,"ASHEVILLE, N.C.",281,281,238,2,0,41,0,3,3405,3405,3185,12,0,209,0
1967,pages_01_02.json,47,ASHEVILLE,250,250,213,2,0,35,0,2,2933,2933,2748,12,0,174,0
1967,pages_01_02.json,48,OUTSIDE CENTRAL CITY,31,31,25,0,0,6,0,1,472,472,437,0,0,35,0
1967,pages_01_02.json,49,"ATLANTA, GA.",23587,23447,10041,550,231,12625,140,1093,244713,242434,147292,5056,1842,88244,2279
1967,pages_01_02.json,50,ATLANTA,4118,3978,658,218,4,3098,140,70,36114,33836,10102,2653,16,21065,2279
1967,pages_01_02.json,51,OUTSIDE CENTRAL CITY,19469,19469,9383,332,227,9527,0,1023,208598,208598,137190,2404,1826,67178,0
1967,pages_01_02.json,52,"ATLANTIC CITY, N.J.",2020,1670,794,22,4,850,350,32,18403,14793,10470,208,15,4100,3610
1967,pages_01_02.json,53,ATLANTIC CITY,636,286,16,0,4,266,350,4,4904,1294,126,0,15,1153,3610
1967,pages_01_02.json,54,OUTSIDE CENTRAL CITY,1384,1384,778,22,0,584,0,28,13499,13499,10344,208,0,2947,0
1967,pages_01_02.json,55,"AUGUSTA, GA.-S.C.",2739,2739,2225,0,116,398,0,51,30095,30095,26010,0,573,3512,0
1967,pages_01_02.json,56,AUGUSTA,128,128,66,0,12,50,0,11,970,970,615,0,63,292,0
1967,pages_01_02.json,57,OUTSIDE CENTRAL CITY,2611,2611,2159,0,104,348,0,40,29125,29125,25395,0,510,3220,0
1967,pages_03_04.json,1,"AUSTIN, TEX.",4951,4951,1670,454,283,2544,0,84,65233,65233,36924,6037,2698,19574,0
1967,pages_03_04.json,2,AUSTIN,4927,4927,1652,448,283,2544,0,84,64680,64680,36445,5963,2698,19574,0
1967,pages_03_04.json,3,OUTSIDE CENTRAL CITY,24,24,18,6,0,0,0,0,553,553,479,74,0,0,0
1967,pages_03_04.json,4,"BAKERSFIELD, CALIF.",1717,1717,1063,88,219,347,0,32,23275,23275,17710,770,1750,3045,0
1967,pages_03_04.json,5,BAKERSFIELD,451,451,147,20,70,214,0,19,5244,5244,2751,180,553,1760,0
1967,pages_03_04.json,6,OUTSIDE CENTRAL CITY,1266,1266,916,68,149,133,0,13,18031,18031,14959,590,1197,1285,0
1967,pages_03_04.json,7,"BALTIMORE, MD.",15003,14663,7280,24,25,7334,340,362,184660,179411,123599,308,177,55329,5249
1967,pages_03_04.json,8,BALTIMORE,1644,1644,47,2,14,1581,0,46,15539,15539,825,10,71,14633,0
1967,pages_03_04.json,9,OUTSIDE CENTRAL CITY,13359,13019,7233,22,11,5753,340,316,169121,163872,122773,298,106,40696,5249
1967,pages_03_04.json,10,"BATON ROUGE, LA.",3108,3108,2216,278,27,587,0,30,40884,40884,35601,2234,157,2893,0
1967,pages_03_04.json,11,BATON ROUGE,2923,2923,2063,278,27,555,0,26,38770,38770,33672,2234,157,2708,0
1967,pages_03_04.json,12,OUTSIDE CENTRAL CITY,185,185,153,0,0,32,0,4,2114,2114,1929,0,0,185,0
1967,pages_03_04.json,13,"BAY CITY, MICH.",535,535,478,14,32,11,0,2,8586,8586,8144,136,204,102,0
1967,pages_03_04.json,14,BAY CITY,49,49,49,0,0,0,0,0,857,857,857,0,0,0,0
1967,pages_03_04.json,15,OUTSIDE CENTRAL CITY,486,486,429,14,32,11,0,2,7729,7729,7287,136,204,102,0
