smsa_name_clean,smsa_name,line_number,year,page_numbers
"ABILENE, TEX","ABILENE, TEX. | ABILENE, TEX..",4,1967,pages_01_02.json
"AKRON, OHIO","AKRON, OHIO | AKRON, OHIO.",7,1967,pages_01_02.json
"ALBANY, GA","ALBANY, GA. | ALBANY, GA..",10,1967,pages_01_02.json
"ALBANY-SCHENECTADY-TROY, NY","ALBANY-SCHENECTADY-TROY, N.Y. | ALBANY-SCHENECTADY-TROY, N.Y..",13,1967,pages_01_02.json
"ALBUQUERQUE, N MEX","ALBUQUERQUE, N. MEX.",6,1970,pages_01_02.json
"ALBUQUERQUE, NMEX","ALBUQUERQUE, N.MEX. | ALBUQUERQUE, N.MEX..",19,1967,pages_01_02.json
"ALEXANDRIA, LA","ALEXANDRIA, LA. | ALEXANDRIA, LA..",22,1971,pages_01_02.json
ALLENTOWN-BETH-EASTON PA-NJ,ALLENTOWN-BETH.-EASTON PA.-N.J.,25,1972,pages_01_02.json
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ","ALLENTOWN-BETHLEHEM-EASTON, PA.-N.J. | ALLENTOWN-BETHLEHEM-EASTON, PA.- N.J. | ALLENTOWN-BETHLEHEM-EASTON, PA.-N.J..",22,1967,pages_01_02.json
"ALTOONA, PA","ALTOONA, PA.",28,1967,pages_01_02.json
"AMARILLO, TEX","AMARILLO, TEX.",31,1967,pages_01_02.json
"ANAHEIM-SANTA ANA-GARDEN GR, CALIF","ANAHEIM-SANTA ANA-GARDEN GR., CALIF. | ANAHEIM-SANTA ANA-GARDEN GR., CALIF..",37,1973,pages_01_02.json
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF","ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF.",34,1967,pages_01_02.json
"ANCHORAGE, ALASKA","ANCHORAGE, ALASKA | ANCHORAGE, ALASKA.",43,1971,pages_01_02.json
"ANDERSON, IND","ANDERSON, IND.",40,1967,pages_01_02.json
"ANN ARBOR, MICH","ANN ARBOR, MICH.",43,1967,pages_01_02.json
"ANNISTON, ALA","ANNISTON, ALA.",52,1973,pages_01_02.json
"APPLETON-OSHKOSH, WIS","APPLETON-OSHKOSH, WIS.",52,1971,pages_01_02.json
"ASHEVILLE, NC","ASHEVILLE, N.C. | ASHEVILLE, N.C..",46,1967,pages_01_02.json
"ATLANTA, GA","ATLANTA, GA.",49,1967,pages_01_02.json
"ATLANTIC CITY, NJ","ATLANTIC CITY, N.J.",52,1967,pages_01_02.json
"AUGUSTA, GA-SC","AUGUSTA, GA.-S.C.",55,1967,pages_01_02.json
"AUSTIN, TEX","AUSTIN, TEX.",1,1967,pages_03_04.json
"BAKERSFIELD, CALIF","BAKERSFIELD, CALIF.",4,1967,pages_03_04.json
"BALTIMORE, MD","BALTIMORE, MD.",7,1967,pages_03_04.json
"BATON ROUGE, LA","BATON ROUGE, LA.",10,1967,pages_03_04.json
