line_number,smsa_name,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures
1,METROPOLITAN AREA TOTAL,935521,918013,482981,34502,23237,377293,17508,20374
2,INSIDE CENTRAL CITIES,322143,307567,113841,17977,7493,168256,14576,7692
3,OUTSIDE CENTRAL CITIES,613378,610446,369140,16525,15744,209037,2932,12682
4,ABILENE TX,247,247,95,2,-,150,-,6
5,ABILENE,221,221,69,2,-,150,-,6
6,OUTSIDE CENTRAL CITY,26,26,26,-,-,-,-,-
7,AKRON OH,4732,4732,2289,540,159,1744,-,106
8,AKRON,933,933,257,200,62,414,-,44
9,OUTSIDE CENTRAL CITY,3799,3799,2032,340,97,1330,-,62
10,ALBANY GA,472,472,339,71,-,62,-,11
11,ALBANY,249,249,166,39,-,44,-,8
12,OUTSIDE CENTRAL CITY,223,223,173,32,-,18,-,3
13,ALBANY-SCHENECTADY-TROY NY,3309,3309,1985,312,107,905,-,70
14,INSIDE CENTRAL CITIES,390,390,135,64,8,183,-,15
15,ALBANY,163,163,70,62,-,31,-,3
16,SCHENECTADY,45,45,37,-,8,-,-,-
17,TROY,182,182,28,2,-,152,-,12
18,OUTSIDE CENTRAL CITIES,2919,2919,1850,248,99,722,-,55
19,ALBUQUERQUE NMEX,1334,1334,827,6,17,484,-,13
20,ALBUQUERQUE,1324,1324,817,6,17,484,-,13
21,OUTSIDE CENTRAL CITY,10,10,10,-,-,-,-,-
22,ALLENTOWN-BETHLEHEM-EASTON PA-NJ,3172,3172,1831,28,19,1294,-,83
23,INSIDE CENTRAL CITIES,1011,1011,194,24,19,774,-,56
24,ALLENTOWN,645,645,91,24,7,523,-,30
25,BETHLEHEM,363,363,100,-,12,251,-,26
26,EASTON,3,3,3,-,-,-,-,-
27,OUTSIDE CENTRAL CITIES,2161,2161,1637,4,-,520,-,27
28,ALTOONA PA,339,239,235,-,4,-,100,-
29,ALTOONA,176,76,76,-,-,-,100,-
30,OUTSIDE CENTRAL CITY,163,163,159,-,4,-,-,-
31,AMARILLO TEX,517,517,340,18,-,159,-,5
32,AMARILLO,386,386,301,18,-,67,-,3
33,OUTSIDE CENTRAL CITY,131,131,39,-,-,92,-,2
34,ANAHEIM-SANTA ANA-GARDEN GROVE CALIF,12179,12179,8663,280,1072,2164,-,176
35,INSIDE CENTRAL CITIES,1290,1290,504,10,124,652,-,38
36,ANAHEIM,678,678,185,-,96,397,-,13
37,GARDEN GROVE,351,351,90,-,24,237,-,23
38,SANTA ANA,261,261,229,10,4,18,-,2
39,OUTSIDE CENTRAL CITIES,10889,10889,8159,270,948,1512,-,138
40,ANDERSON IND,642,642,444,54,-,144,-,2
41,ANDERSON,394,394,196,54,-,144,-,2
42,OUTSIDE CENTRAL CITY,248,248,248,-,-,-,-,-
43,ANN ARBOR MICH,2897,2897,1164,68,27,1638,-,85
44,ANN ARBOR,1468,1468,433,50,4,981,-,47
45,OUTSIDE CENTRAL CITY,1429,1429,731,18,23,657,-,38
46,ASHEVILLE NC,281,281,238,2,-,41,-,3
47,ASHEVILLE,250,250,213,2,-,35,-,2
48,OUTSIDE CENTRAL CITY,31,31,25,-,-,6,-,1
49,ATLANTA GA,23587,23447,10041,550,231,12625,140,1093
50,ATLANTA,4118,3978,658,218,4,3098,140,70
51,OUTSIDE CENTRAL CITY,19469,19469,9383,332,227,9527,-,1023
52,ATLANTIC CITY NJ,2020,1670,794,22,4,850,350,32
53,ATLANTIC CITY,636,286,16,-,4,266,350,4
54,OUTSIDE CENTRAL CITY,1384,1384,778,22,-,584,-,28
55,AUGUSTA GA-SC,2739,2739,2225,-,116,398,-,51
56,AUGUSTA,128,128,66,-,12,50,-,11
57,OUTSIDE CENTRAL CITY,2611,2611,2159,-,104,348,-,40
